,date,county,state,fips,cases,deaths
576,03-05-2020,King,Washington,53033,52,11
649,03-06-2020,King,Washington,53033,59,12
718,03-07-2020,Westchester,New York,36119,69,0
743,03-07-2020,King,Washington,53033,72,16
825,03-08-2020,Westchester,New York,36119,81,0
855,03-08-2020,King,Washington,53033,91,18
881,03-09-2020,Santa Clara,California,06085,43,1
952,03-09-2020,Westchester,New York,36119,97,0
986,03-09-2020,King,Washington,53033,117,21
990,03-09-2020,Snohomish,Washington,53061,45,0
1014,03-10-2020,Santa Clara,California,06085,45,1
1075,03-10-2020,Middlesex,Massachusetts,25017,41,0
1103,03-10-2020,Westchester,New York,36119,107,0
1149,03-10-2020,King,Washington,53033,191,23
1154,03-10-2020,Snohomish,Washington,53061,61,0
1180,03-11-2020,Santa Clara,California,06085,48,1
1255,03-11-2020,Middlesex,Massachusetts,25017,41,0
1285,03-11-2020,New York City,New York,36061,52,0
1290,03-11-2020,Westchester,New York,36119,120,0
1349,03-11-2020,King,Washington,53033,235,27
1354,03-11-2020,Snohomish,Washington,53061,69,1
1386,03-12-2020,Santa Clara,California,06085,66,1
1473,03-12-2020,Middlesex,Massachusetts,25017,49,0
1520,03-12-2020,Nassau,New York,36059,41,0
1521,03-12-2020,New York City,New York,36061,96,0
1527,03-12-2020,Westchester,New York,36119,147,0
1603,03-12-2020,King,Washington,53033,271,28
1608,03-12-2020,Snohomish,Washington,53061,107,3
1647,03-13-2020,Santa Clara,California,06085,79,2
1752,03-13-2020,Middlesex,Massachusetts,25017,60,0
1813,03-13-2020,Nassau,New York,36059,51,0
1814,03-13-2020,New York City,New York,36061,155,0
1821,03-13-2020,Westchester,New York,36119,157,0
1914,03-13-2020,King,Washington,53033,329,33
1919,03-13-2020,Snohomish,Washington,53061,132,3
1951,03-14-2020,Los Angeles,California,06037,53,1
1965,03-14-2020,Santa Clara,California,06085,91,2
2039,03-14-2020,Cook,Illinois,17031,51,0
2077,03-14-2020,Orleans,Louisiana,22071,53,1
2095,03-14-2020,Middlesex,Massachusetts,25017,65,0
2162,03-14-2020,Nassau,New York,36059,79,0
2163,03-14-2020,New York City,New York,36061,269,1
2168,03-14-2020,Suffolk,New York,36103,41,0
2172,03-14-2020,Westchester,New York,36119,178,0
2287,03-14-2020,King,Washington,53033,389,36
2293,03-14-2020,Snohomish,Washington,53061,154,3
2330,03-15-2020,Los Angeles,California,06037,69,1
2346,03-15-2020,Santa Clara,California,06085,114,2
2430,03-15-2020,Cook,Illinois,17031,76,0
2474,03-15-2020,Orleans,Louisiana,22071,75,2
2497,03-15-2020,Middlesex,Massachusetts,25017,75,0
2573,03-15-2020,Nassau,New York,36059,98,0
2574,03-15-2020,New York City,New York,36061,330,5
2580,03-15-2020,Suffolk,New York,36103,47,0
2584,03-15-2020,Westchester,New York,36119,195,0
2714,03-15-2020,King,Washington,53033,421,38
2722,03-15-2020,Snohomish,Washington,53061,175,3
2764,03-16-2020,Los Angeles,California,06037,94,1
2775,03-16-2020,San Diego,California,06073,56,0
2776,03-16-2020,San Francisco,California,06075,43,0
2779,03-16-2020,San Mateo,California,06081,42,1
2781,03-16-2020,Santa Clara,California,06085,138,4
2871,03-16-2020,Cook,Illinois,17031,76,0
2920,03-16-2020,Orleans,Louisiana,22071,95,3
2946,03-16-2020,Middlesex,Massachusetts,25017,83,0
2949,03-16-2020,Suffolk,Massachusetts,25025,42,0
3003,03-16-2020,Bergen,New Jersey,34003,61,2
3032,03-16-2020,Nassau,New York,36059,109,0
3033,03-16-2020,New York City,New York,36061,464,7
3041,03-16-2020,Suffolk,New York,36103,63,2
3045,03-16-2020,Westchester,New York,36119,219,0
3188,03-16-2020,King,Washington,53033,489,44
3194,03-16-2020,Pierce,Washington,53053,44,0
3196,03-16-2020,Snohomish,Washington,53061,199,3
3240,03-17-2020,Alameda,California,06001,49,0
3245,03-17-2020,Los Angeles,California,06037,144,1
